group	fraction_aag_like_cds	fraction_aag_like_3utr
other	0.5581395348837209	0.4186046511627907
low_clip_control	0.4166666666666667	0.125
low_clip_control	0.4594594594594595	0.4594594594594595
low_clip_control	0.6666666666666666	0.2916666666666667
low_clip_control	0.7692307692307693	0.2307692307692307
low_clip_control	0.1071428571428571	0.8571428571428571
high_clip_target	0.868421052631579	0.1052631578947368
other	0.8571428571428571	0.0
low_clip_control	0.9195402298850576	0.0804597701149425
low_clip_control	0.9090909090909092	0.0606060606060606
low_clip_control	0.8076923076923077	0.0384615384615384
other	1.0	0.0
other	0.5357142857142857	0.4285714285714285
high_clip_target	0.3333333333333333	0.5185185185185185
other	0.7692307692307693	0.1923076923076923
other	0.75	0.1666666666666666
other	0.4871794871794871	0.4615384615384615
other	0.2647058823529412	0.7058823529411765
low_clip_control	1.0	0.0
low_clip_control	0.9473684210526316	0.0526315789473684
low_clip_control	0.5555555555555556	0.4444444444444444
low_clip_control	0.6666666666666666	0.1111111111111111
other	0.7647058823529411	0.1764705882352941
low_clip_control	0.3333333333333333	0.3333333333333333
functional_target	0.2096774193548387	0.7258064516129032
functional_target	0.35	0.575
